asset,feature,importance,importance_rank
D05_SI,ma60_ratio,0.1866738059557849,1
D05_SI,volatility_20d,0.1855989113643112,2
D05_SI,rsi_14,0.15921519426945746,3
D05_SI,return_20d,0.15779997781036775,4
D05_SI,ma20_ratio,0.15692594509186042,5
D05_SI,ma10_ratio,0.07784593013081195,6
D05_SI,return_5d,0.07594023537740638,7
MSFT,ma60_ratio,0.2835785537240761,1
MSFT,volatility_20d,0.2231723586984432,2
MSFT,ma20_ratio,0.11460984570551101,3
MSFT,rsi_14,0.10626367293360098,4
MSFT,ma10_ratio,0.1050115649430011,5
MSFT,return_20d,0.09886237801790611,6
MSFT,return_5d,0.06850162597746147,7
NVDA,volatility_20d,0.18526217113709673,1
NVDA,ma60_ratio,0.18106507502465308,2
NVDA,return_20d,0.16852482978055902,3
NVDA,rsi_14,0.13151900200852484,4
NVDA,ma20_ratio,0.11809031395039694,5
NVDA,ma10_ratio,0.11280600488553288,6
NVDA,return_5d,0.1027326032132365,7
QQQ,ma60_ratio,0.22944352801187054,1
QQQ,rsi_14,0.22128328281633242,2
QQQ,volatility_20d,0.15400171275642274,3
QQQ,ma10_ratio,0.1118355561623697,4
QQQ,ma20_ratio,0.10923138780008233,5
QQQ,return_5d,0.10686003237351206,6
QQQ,return_20d,0.0673445000794103,7
SPY,rsi_14,0.30862106529214983,1
SPY,volatility_20d,0.18529030927286666,2
SPY,ma60_ratio,0.17404576812069264,3
SPY,ma20_ratio,0.11038002131271249,4
SPY,ma10_ratio,0.080492033908297,5
SPY,return_20d,0.07251212438373429,6
SPY,return_5d,0.06865867770954713,7
