asset,ticker,test_period,strategy_type,threshold,market_exposure,strategy_return,benchmark_return,excess_return,strategy_sharpe,benchmark_sharpe,strategy_volatility,benchmark_volatility,strategy_mdd,benchmark_mdd
D05_SI,D05.SI,2025-2026,threshold_only,0.4,0.8779840848806366,0.530331205753618,0.6579185480729146,-0.12758734231929658,1.7244584443394584,1.9467325160267166,0.1737914599233422,0.1822487150895875,-0.19102271611297095,-0.19258267632264292
D05_SI,D05.SI,2025-2026,threshold_plus_regime_filter,0.4,0.8594164456233422,0.4990374995291442,0.6579185480729146,-0.1588810485437704,1.8143921151404534,1.9467325160267166,0.15596606965620263,0.1822487150895875,-0.14487034369993346,-0.19258267632264292
MSFT,MSFT,2025-2026,threshold_only,0.5,0.5561497326203209,-0.07609980109085268,-0.07748825347798483,0.0013884523871321441,-0.0931868818479972,-0.05482779615379609,0.24678345168856314,0.27978951808851,-0.26661247039663605,-0.34498399049468975
MSFT,MSFT,2025-2026,threshold_plus_regime_filter,0.5,0.15240641711229946,-0.06084588376609268,-0.07748825347798483,0.016642369711892147,-0.41101059698074566,-0.05482779615379609,0.09239519806660963,0.27978951808851,-0.12068084048704453,-0.34498399049468975
NVDA,NVDA,2025-2026,threshold_only,0.55,0.3716577540106952,0.6826443297449922,0.47177551762928394,0.2108688121157083,1.232178978354372,0.7959087919906451,0.32698937186304905,0.4607790542931034,-0.2391910063164503,-0.36881026403302364
NVDA,NVDA,2025-2026,threshold_plus_regime_filter,0.55,0.21390374331550802,0.30220965593749605,0.47177551762928394,-0.1695658616917879,1.0804955364729412,0.7959087919906451,0.1794798634348677,0.4607790542931034,-0.08374424818140591,-0.36881026403302364
QQQ,QQQ,2025-2026,threshold_only,0.55,0.3983957219251337,0.08991646791289498,0.4290411128281404,-0.3391246449152454,0.415412391574989,1.1670898883658878,0.17655584267802202,0.22830038597535818,-0.1699757880519357,-0.22768308447040142
QQQ,QQQ,2025-2026,threshold_plus_regime_filter,0.55,0.27807486631016043,0.07033385080943733,0.4290411128281404,-0.35870726201870307,0.5735789779641683,1.1670898883658878,0.08637380616477452,0.22830038597535818,-0.05996202008346874,-0.22768308447040142
SPY,SPY,2025-2026,threshold_only,0.4,0.8155080213903744,0.20667740480349606,0.29423853775420095,-0.08756113295070489,0.8245317620305999,1.060843628194942,0.17110291741292608,0.17876491874570893,-0.18755226260622682,-0.1875522626062267
SPY,SPY,2025-2026,threshold_plus_regime_filter,0.4,0.6764705882352942,0.12607876761513692,0.29423853775420095,-0.16815977013906402,0.8029397425092469,1.060843628194942,0.10675430721497907,0.17876491874570893,-0.09998363841492774,-0.1875522626062267
