asset,strategy,selected_threshold,selected_filter,test_return,benchmark_return,test_sharpe,test_mdd,test_calmar,market_exposure,turnover,cost_drag
D05_SI,ExtraTrees,0.4,NO_FILTER,0.6554010315748138,0.6661543694874612,1.9385535708238322,-0.19258283752070648,3.403216195235181,1.0,1.0,0.001
D05_SI,EqualWeightEnsemble,0.6,NO_FILTER,0.16011696865103464,0.6661543694874612,1.1702016140527594,-0.05491752920115833,2.915589448034698,0.07142857142857142,8.0,0.008
D05_SI,Top3Ensemble,0.6,NO_FILTER,0.1685157908385646,0.6661543694874612,1.2257456263120794,-0.05491752920115833,3.06852462756118,0.06878306878306878,8.0,0.008
MSFT,ExtraTrees,0.4,NO_FILTER,-0.05698500585567656,-0.06258039961801831,-0.0016319924992020814,-0.34498399049468975,-0.1651815951631927,1.0,1.0,0.001
MSFT,EqualWeightEnsemble,0.4,NO_FILTER,-0.025633030569153226,-0.06258039961801831,0.06862905069522929,-0.3376392102380824,-0.07591840577721523,0.824,44.0,0.044
MSFT,Top3Ensemble,0.4,NO_FILTER,-0.0910065673176561,-0.06258039961801831,-0.10149482542876868,-0.3391009590293089,-0.2683760245862068,0.8613333333333333,30.0,0.030000000000000002
NVDA,ExtraTrees,0.55,NO_FILTER,0.21999317014195552,0.4529822063894977,1.089863034396819,-0.06504225852228951,3.3823113640275184,0.050666666666666665,26.0,0.026000000000000002
NVDA,EqualWeightEnsemble,0.4,NO_FILTER,-0.20155451685356962,0.4529822063894977,-0.15601195799955184,-0.4846336931042834,-0.4158904337883069,0.7813333333333333,65.0,0.065
NVDA,Top3Ensemble,0.55,NO_FILTER,0.24817166602474683,0.4529822063894977,0.6810948240879279,-0.13594230885573455,1.825566066323862,0.2906666666666667,65.0,0.065
QQQ,ExtraTrees,0.5,NO_FILTER,0.10866250712915115,0.4042704587811403,0.48382525843474206,-0.14764215993905505,0.735985623442557,0.5413333333333333,58.0,0.05800000000000001
QQQ,EqualWeightEnsemble,0.45,NO_FILTER,0.079360404839806,0.4042704587811403,0.37573526268423785,-0.2104348831077808,0.3771257106606184,0.5733333333333334,68.0,0.068
QQQ,Top3Ensemble,0.45,NO_FILTER,0.2972447057595544,0.4042704587811403,1.0561567162320422,-0.16668674666722227,1.7832533881831734,0.624,74.0,0.074
SPY,ExtraTrees,0.4,NO_FILTER,0.26562085848910444,0.29253781839100834,0.9821175928082972,-0.18755234489427264,1.416249200397045,0.9146666666666666,15.0,0.015000000000000001
SPY,EqualWeightEnsemble,0.5,NO_FILTER,0.11788885334308241,0.29253781839100834,0.6542397600328634,-0.06455638310461942,1.826137829810461,0.2613333333333333,81.0,0.081
SPY,Top3Ensemble,0.5,NO_FILTER,0.12817741922159342,0.29253781839100834,0.6682789451073945,-0.08709429072284036,1.471708629323266,0.288,71.0,0.07100000000000001
