feature_set,portfolio,assets,total_return,volatility,sharpe,mdd,calmar,var_95,es_95
Buy & Hold,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.3680365179301812,0.19839853371655283,1.1220809632094175,-0.21389397406370647,1.72064930553193,-0.018180259084022262,-0.027380167715614894
Full,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.22570545682947163,0.1179194640498519,1.1768652033667737,-0.12309763744473234,1.8335482427987908,-0.011152109632002482,-0.015580713147860645
Top3,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.1737323523966119,0.07796227227340155,1.36959538652869,-0.07112977998653702,2.4424699813424815,-0.005297687883672037,-0.009003125007812291
RiskAware,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.1297239720041663,0.07438796895888782,1.0988179240523177,-0.06119034317632044,2.120007263733849,-0.004091088397879834,-0.00793084979785939
Trend,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.25694907653438603,0.16635077579200674,0.972978273035143,-0.17537222127903984,1.4651640645273398,-0.014039632941804209,-0.021594054753273688
Momentum,All Assets,"D05_SI,MSFT,NVDA,QQQ,SPY",0.2814196864495695,0.13410607453554463,1.264717667468025,-0.15423571009716963,1.8246078438791706,-0.011370738566855897,-0.018513077936111125
Buy & Hold,Robust Assets,"D05_SI,NVDA,SPY",0.542540655245551,0.2063386448475631,1.464326469070727,-0.2217311257692951,2.4468403042793776,-0.019435258945408214,-0.02967606577545876
Full,Robust Assets,"D05_SI,NVDA,SPY",0.3817256286859607,0.09566236511371656,2.2381324696075238,-0.10765853571310346,3.5457070464269713,-0.0071472969100042855,-0.012977086645773938
Top3,Robust Assets,"D05_SI,NVDA,SPY",0.1431877326004669,0.052505604961461186,1.677301957686985,-0.036499269574292836,3.9230300844517965,-0.0003333333333333333,-0.003240210841156514
RiskAware,Robust Assets,"D05_SI,NVDA,SPY",0.11062321765665795,0.05167605066948332,1.3410050527383692,-0.03649926957429295,3.0308337385077904,-0.0003333333333333333,-0.0037840700893008727
Trend,Robust Assets,"D05_SI,NVDA,SPY",0.4245959685924052,0.17859911678865606,1.372967755063926,-0.19176017597683181,2.214203060825853,-0.016070748652065737,-0.024920558575766937
Momentum,Robust Assets,"D05_SI,NVDA,SPY",0.5242477857834131,0.20619477347945891,1.4276808481296377,-0.22173112576929532,2.3643400716274603,-0.019435258945408214,-0.02967606577545876
