asset,ticker,test_period,filter_type,ma_window,threshold,market_exposure,strategy_return,benchmark_return,excess_return,strategy_sharpe,benchmark_sharpe,strategy_volatility,benchmark_volatility,strategy_mdd,benchmark_mdd,calmar_ratio
D05_SI,D05.SI,2025-2026,no_filter,0,0.4,0.8783068783068783,0.5379336900872371,0.6661543694874623,-0.1282206794002252,1.7409883149241712,1.962107325877509,0.17358831562421387,0.18203011656464643,-0.19102296712114775,-0.19258299871874007,2.8160681314623117
D05_SI,D05.SI,2025-2026,ma100_filter,100,0.4,0.7936507936507936,0.4921982775170224,0.6661543694874623,-0.17395609197043993,2.0551672962630545,1.962107325877509,0.13427574484113264,0.18203011656464643,-0.07732800192580713,-0.19258299871874007,6.365071710882499
D05_SI,D05.SI,2025-2026,ma150_filter,150,0.4,0.8492063492063492,0.40881598576656564,0.6661543694874623,-0.2573383837208967,1.5676090381982113,1.962107325877509,0.15338539697186127,0.18203011656464643,-0.1608241957622345,-0.19258299871874007,2.542005472677549
D05_SI,D05.SI,2025-2026,ma200_filter,200,0.4,0.8597883597883598,0.5064848324723648,0.6661543694874623,-0.15966953701509756,1.8328890350725442,1.962107325877509,0.15579067312498315,0.18203011656464643,-0.14487033075442457,-0.19258299871874007,3.496125326937558
MSFT,MSFT,2025-2026,no_filter,0,0.5,0.5561497326203209,-0.07609957104547804,-0.0774883210623245,0.0013887500168464628,-0.09318606647642518,-0.054827850629765,0.2467835542769118,0.2797896239996816,-0.2666124776808819,-0.3449839162751167,-0.2854313935620236
MSFT,MSFT,2025-2026,ma100_filter,100,0.5,0.11229946524064172,-0.1153986412928375,-0.0774883210623245,-0.037910320230512995,-0.761559135903935,-0.054827850629765,0.10164410507014371,0.2797896239996816,-0.12188772258714164,-0.3449839162751167,-0.9467618136054279
MSFT,MSFT,2025-2026,ma150_filter,150,0.5,0.09358288770053476,-0.12222486119376652,-0.0774883210623245,-0.044736540131442015,-0.9900755599166695,-0.054827850629765,0.08499720835697928,0.2797896239996816,-0.12310445459581543,-0.3449839162751167,-0.992854901921
MSFT,MSFT,2025-2026,ma200_filter,200,0.5,0.15240641711229946,-0.0608457295842717,-0.0774883210623245,0.016642591478052804,-0.41100948004364785,-0.054827850629765,0.09239518329848657,0.2797896239996816,-0.12068075949602208,-0.3449839162751167,-0.5041874930052733
NVDA,NVDA,2025-2026,no_filter,0,0.55,0.3716577540106952,0.6826441376947427,0.47177551762928394,0.2108686200654588,1.2321789551159155,0.7959088167522762,0.32698929729099085,0.4607790255318853,-0.23919100631644996,-0.3688102640330232,2.8539707583804543
NVDA,NVDA,2025-2026,ma100_filter,100,0.55,0.12566844919786097,0.12519699794462213,0.47177551762928394,-0.3465785196846618,0.6717798613971705,0.7959088167522762,0.13094407978739941,0.4607790255318853,-0.10390842296035085,-0.3688102640330232,1.2048782416069823
NVDA,NVDA,2025-2026,ma150_filter,150,0.55,0.17914438502673796,0.09996495154762686,0.47177551762928394,-0.3718105660816571,0.49526420098672347,0.7959088167522762,0.15323548079893357,0.4607790255318853,-0.08374424818140591,-0.3688102640330232,1.193693342748553
NVDA,NVDA,2025-2026,ma200_filter,200,0.55,0.21390374331550802,0.30220975356379665,0.47177551762928394,-0.1695657640654873,1.0804958359874806,0.7959088167522762,0.17947985998819244,0.4607790255318853,-0.08374424818140591,-0.3688102640330232,3.608722510818332
QQQ,QQQ,2025-2026,no_filter,0,0.55,0.3983957219251337,0.08991673371826048,0.42904119876900415,-0.3391244650507437,0.415412999138756,1.1670892214556468,0.17655607415714117,0.2283005892507972,-0.16997590012875186,-0.22768314145582236,0.5289969557457919
QQQ,QQQ,2025-2026,ma100_filter,100,0.55,0.22994652406417113,0.10803306612021069,0.42904119876900415,-0.32100813264879346,0.9776138873627869,1.1670892214556468,0.07348275676697472,0.2283005892507972,-0.04734718140822991,-0.22768314145582236,2.281721169180988
QQQ,QQQ,2025-2026,ma150_filter,150,0.55,0.2647058823529412,0.07844789729097812,0.42904119876900415,-0.35059330147802603,0.6576378414649597,1.1670892214556468,0.08258651692941872,0.2283005892507972,-0.05996173982845587,-0.22768314145582236,1.3082992173911092
QQQ,QQQ,2025-2026,ma200_filter,200,0.55,0.27807486631016043,0.07033397866440572,0.42904119876900415,-0.35870722010459843,0.5735785675289367,1.1670892214556468,0.08637404434080521,0.2283005892507972,-0.059961739828456095,-0.22768314145582236,1.172980951947416
SPY,SPY,2025-2026,no_filter,0,0.4,0.8155080213903744,0.20667760428007842,0.2942384006629968,-0.08756079638291836,0.8245322317191743,1.0608430840008491,0.17110296645200768,0.17876494924715514,-0.1875522626062276,-0.18755226260622737,1.1019733988174012
SPY,SPY,2025-2026,ma100_filter,100,0.4,0.6229946524064172,0.18998953559546616,0.2942384006629968,-0.10424886506753062,1.24671249611333,1.0608430840008491,0.09786891180157424,0.17876494924715514,-0.06824304587946284,-0.18755226260622737,2.784013127594615
SPY,SPY,2025-2026,ma150_filter,150,0.4,0.6470588235294118,0.17697818500002693,0.2942384006629968,-0.11726021566296985,1.1315989613870077,1.0608430840008491,0.10160506206327892,0.17876494924715514,-0.08150285828353043,-0.18755226260622737,2.1714353180640478
SPY,SPY,2025-2026,ma200_filter,200,0.4,0.6764705882352942,0.12607907957783304,0.2942384006629968,-0.16815932108516374,0.8029408706216459,1.0608430840008491,0.10675440236442085,0.17876494924715514,-0.09998382909925696,-0.18755226260622737,1.2609947099812564
