asset,model,selected_threshold,selected_filter,validation_calmar,validation_return,test_accuracy,test_precision,test_recall,test_return,benchmark_return,excess_return,test_volatility,test_sharpe,benchmark_sharpe,test_mdd,benchmark_mdd,test_calmar,benchmark_calmar,market_exposure,total_turnover,cost_drag
D05_SI,RandomForest,0.4,NO_FILTER,1.9791383439036507,0.27199435508580794,0.5476190476190477,0.5362318840579711,0.4088397790055249,0.4296204870049738,0.6661543694874623,-0.23653388248248852,0.1622231817299164,1.550843936230131,1.9621076209314303,-0.20448789920759103,-0.1925829987187404,2.100957996388988,3.459050767302432,0.7698412698412699,52.0,0.052000000000000005
D05_SI,ExtraTrees,0.4,NO_FILTER,3.6186347339008997,0.5308208452119105,0.5582010582010583,0.574468085106383,0.2983425414364641,0.655401031574812,0.6661543694874623,-0.010753337912650318,0.18201016426137392,1.9385529641338086,1.9621076209314303,-0.19258299871874063,-0.1925829987187404,3.403213346636053,3.459050767302432,1.0,1.0,0.001
D05_SI,GradientBoosting,0.6,MA100,30.821661716842613,0.03082166171684264,0.5714285714285714,0.6557377049180327,0.22099447513812154,-0.004112134869232009,0.6661543694874623,-0.6702665043566943,0.030384079758898768,-0.0751543919346795,1.9621076209314303,-0.03597631510888799,-0.1925829987187404,-0.11430116888808609,3.459050767302432,0.026455026455026454,16.0,0.016
D05_SI,HistGradientBoosting,0.45,MA100,0.9362343009580864,0.04254811337352926,0.5529100529100529,0.56,0.30939226519337015,0.11664352159491642,0.6661543694874623,-0.5495108478925459,0.08453228972509781,0.912542431439567,1.9621076209314303,-0.06853266966611282,-0.1925829987187404,1.7020133924914478,3.459050767302432,0.2566137566137566,84.0,0.08399999999999999
D05_SI,LogisticRegression,0.6,NO_FILTER,8.647062995822145,0.14922260720956437,0.5317460317460317,0.5204081632653061,0.281767955801105,0.03107719671300413,0.6661543694874623,-0.6350771727744582,0.10741006336932069,0.24414931297630182,1.9621076209314303,-0.13061269908651207,-0.1925829987187404,0.23793395994688057,3.459050767302432,0.06878306878306878,4.0,0.004
MSFT,RandomForest,0.4,NO_FILTER,1.4813660420097168,0.20016244748541845,0.552,0.44036697247706424,0.676056338028169,-0.11061229674855177,-0.06258039961802053,-0.04803189713053124,0.2769595264173549,-0.14638890933347676,-0.015871607535596223,-0.3604171321265197,-0.34498399049469086,-0.30690077382260167,-0.18140088045327313,0.9413333333333334,24.0,0.024
MSFT,ExtraTrees,0.4,NO_FILTER,0.9289898345985633,0.14387060255697381,0.5493333333333333,0.4293193717277487,0.5774647887323944,-0.056985005855677784,-0.06258039961802053,0.0055953937623427485,0.2796749144594614,-0.0016320797124250535,-0.015871607535596223,-0.3449839904946893,-0.34498399049469086,-0.16518159516319647,-0.18140088045327313,1.0,1.0,0.001
MSFT,GradientBoosting,0.4,NO_FILTER,0.25507424824036906,0.02962592680857612,0.5066666666666667,0.3785310734463277,0.47183098591549294,-0.12907744488833728,-0.06258039961802053,-0.06649704527031675,0.2543539535310293,-0.238341579441651,-0.015871607535596223,-0.3185737701436958,-0.34498399049469086,-0.40517285785994134,-0.18140088045327313,0.6986666666666667,70.0,0.07
MSFT,HistGradientBoosting,0.45,NO_FILTER,0.17784795572480047,0.020732008030162508,0.52,0.405,0.5704225352112676,0.021438306193394263,-0.06258039961802053,0.0840187058114148,0.235139785330311,0.17764146071296408,-0.015871607535596223,-0.2900341189814186,-0.34498399049469086,0.07391649737170314,-0.18140088045327313,0.6026666666666667,92.0,0.092
MSFT,LogisticRegression,0.5,NO_FILTER,2.5017569978762104,0.22566278226681757,0.42133333333333334,0.3469387755102041,0.5985915492957746,-0.18036841842536655,-0.06258039961802053,-0.11778801880734602,0.23500604307070103,-0.4511495569352119,-0.015871607535596223,-0.4018212918624331,-0.34498399049469086,-0.44887720506139134,-0.18140088045327313,0.6533333333333333,21.0,0.020999999999999998
