asset,target,prediction_horizon,target_return_threshold,selected_signal_threshold,selected_filter,test_return,benchmark_return,test_sharpe,test_mdd,test_calmar,market_exposure,turnover,cost_drag
D05_SI,5D_0pct,5,0.0,0.55,MA100,0.009885721084250898,0.7639873994494104,0.7373098751150104,-0.0010000000000000009,9.88572108425089,0.002638522427440633,2.0,0.002
D05_SI,5D_1pct,5,0.01,0.4,NO_FILTER,0.6591208285777763,0.7639873994494104,1.9442059935445168,-0.19258292670766974,3.4225299191671614,1.0,1.0,0.001
D05_SI,10D_1pct,10,0.01,0.55,NO_FILTER,0.0230509231521705,0.7639873994494104,0.19711936453924503,-0.13061269908651219,0.1764830166850971,0.06417112299465241,4.0,0.004
D05_SI,10D_2pct,10,0.02,0.55,NO_FILTER,0.07000693435717231,0.7639873994494104,0.4679747870212259,-0.13061269908651207,0.5359887273350259,0.07219251336898395,4.0,0.004
MSFT,5D_0pct,5,0.0,0.6,NO_FILTER,-0.05586405038450326,-0.0755197920319075,-0.6927015545870614,-0.08255621527960233,-0.6766789174540313,0.016,4.0,0.004
MSFT,5D_1pct,5,0.01,0.4,NO_FILTER,-0.056984936287295396,-0.0755197920319075,-0.001631917637635523,-0.3449839162751165,-0.1651814290433507,1.0,1.0,0.001
MSFT,10D_1pct,10,0.01,0.45,NO_FILTER,-0.11046991735704215,-0.0755197920319075,-0.16288194062376868,-0.3410262955267104,-0.3239337224316468,0.9216216216216216,15.0,0.015
MSFT,10D_2pct,10,0.02,0.55,NO_FILTER,0.008917762406539298,-0.0755197920319075,0.11057279701272749,-0.13484301249516317,0.0661344050501629,0.13513513513513514,19.0,0.019
NVDA,5D_0pct,5,0.0,0.6,NO_FILTER,-0.02843992516345839,0.573274819762386,-1.2029630057680512,-0.02843992516345839,-1.0,0.005333333333333333,4.0,0.004
NVDA,5D_1pct,5,0.01,0.55,NO_FILTER,0.21999353256948084,0.573274819762386,1.089864356084927,-0.06504235423855342,3.3823119587987045,0.050666666666666665,26.0,0.026000000000000002
NVDA,10D_1pct,10,0.01,0.4,NO_FILTER,0.38989134969824124,0.573274819762386,0.7168163029911194,-0.3804147013208289,1.0249113621122126,0.9972972972972973,3.0,0.003
NVDA,10D_2pct,10,0.02,0.4,NO_FILTER,0.41592313656103874,0.573274819762386,0.7441647747545543,-0.36881026012329143,1.1277428573218047,1.0,1.0,0.001
QQQ,5D_0pct,5,0.0,0.55,NO_FILTER,0.18840050537275688,0.42971126564519113,1.1365253148051182,-0.024100348285808537,7.817335381982687,0.042666666666666665,20.0,0.02
QQQ,5D_1pct,5,0.01,0.5,NO_FILTER,0.10866174481569213,0.42971126564519113,0.4838224634489923,-0.14764236000965048,0.7359794628627555,0.5413333333333333,58.0,0.05800000000000001
QQQ,10D_1pct,10,0.01,0.55,NO_FILTER,0.1518074925216586,0.42971126564519113,0.9621483268462663,-0.025843066762776368,5.874205794349371,0.03513513513513514,16.0,0.016
QQQ,10D_2pct,10,0.02,0.5,NO_FILTER,0.04634146551966811,0.42971126564519113,0.256968334782017,-0.24157008881774722,0.191834451634575,0.5513513513513514,25.0,0.025
SPY,5D_0pct,5,0.0,0.5,NO_FILTER,0.04713325824992842,0.31018730366946645,0.2900865625254356,-0.12308050078072974,0.3829465914661594,0.5306666666666666,70.0,0.06999999999999999
SPY,5D_1pct,5,0.01,0.4,NO_FILTER,0.2656209770036093,0.31018730366946645,0.9821183391043071,-0.1875525094703152,1.4162485895484664,0.9146666666666666,15.0,0.015000000000000001
SPY,10D_1pct,10,0.01,0.4,NO_FILTER,0.23880532966119605,0.31018730366946645,0.9091596073818747,-0.1875525094703152,1.273271844432414,0.927027027027027,9.0,0.009000000000000001
SPY,10D_2pct,10,0.02,0.4,NO_FILTER,0.19013269523588527,0.31018730366946645,0.7782526776271079,-0.1875525094703152,1.013757138056201,0.7513513513513513,23.0,0.023000000000000003
