asset,ticker,test_period,cost_model,threshold,filter_type,ma_window,market_exposure,total_turnover,avg_daily_turnover,total_cost_drag,total_return,benchmark_return,excess_return,sharpe,benchmark_sharpe,volatility,benchmark_volatility,mdd,benchmark_mdd,calmar_ratio
D05_SI,D05.SI,2025-2026,gross_no_cost,0.4,ma100_filter,100,0.7936507936507936,43.0,0.11375661375661375,0.0,0.4921980831169237,0.6661545281134134,-0.17395644499648966,2.0551670866330842,1.962107409671845,0.1342757141247499,0.18203014375409973,-0.07732793776414759,-0.19258292670767008,6.365074478232458
D05_SI,D05.SI,2025-2026,net_after_cost_slippage,0.4,ma100_filter,100,0.7936507936507936,43.0,0.11375661375661375,0.043,0.42940435150191725,0.6661545281134134,-0.2367501766114961,1.8392496291403375,1.962107409671845,0.13445285382618588,0.18203014375409973,-0.08284158927809282,-0.19258292670767008,5.183439323700563
MSFT,MSFT,2025-2026,gross_no_cost,0.5,no_filter,0,0.5561497326203209,53.0,0.14171122994652408,0.0,-0.07609914073643975,-0.07748832106232306,0.0013891803258833102,-0.09318492192769441,-0.05482791408111943,0.24678345948869906,0.27978956860077486,-0.2666123906863723,-0.3449839162751165,-0.28542987270969883
MSFT,MSFT,2025-2026,net_after_cost_slippage,0.5,no_filter,0,0.5561497326203209,53.0,0.14171122994652408,0.053000000000000005,-0.12383256548653576,-0.07748832106232306,-0.0463442444242127,-0.23779697802663285,-0.05482791408111943,0.24688172170737044,0.27978956860077486,-0.2782552747287418,-0.3449839162751165,-0.44503223023266825
NVDA,NVDA,2025-2026,gross_no_cost,0.55,ma200_filter,200,0.21390374331550802,63.0,0.16844919786096257,0.0,0.3022097989457453,0.47177551762928394,-0.16956571868353865,1.0804959584937914,0.7959088088601064,0.17947986168561847,0.46077903183816304,-0.0837442481814058,-0.36881026403302364,3.6087230527295677
NVDA,NVDA,2025-2026,net_after_cost_slippage,0.55,ma200_filter,200,0.21390374331550802,63.0,0.16844919786096257,0.063,0.2227620287333456,0.47177551762928394,-0.24901348889593833,0.8444785021914927,0.7959088088601064,0.17937468737010417,0.46077903183816304,-0.08923880682174135,-0.36881026403302364,2.496246158673133
QQQ,QQQ,2025-2026,gross_no_cost,0.55,ma100_filter,100,0.22994652406417113,56.0,0.1497326203208556,0.0,0.10803280879909005,0.4290411987690059,-0.3210083899699159,0.9776137695853768,1.1670897138596756,0.07348259320146508,0.2283004707211945,-0.04734747097655656,-0.22768305343420947,2.2817017798602377
QQQ,QQQ,2025-2026,net_after_cost_slippage,0.55,ma100_filter,100,0.22994652406417113,56.0,0.1497326203208556,0.055999999999999994,0.047693041528725555,0.4290411987690059,-0.38134815724028037,0.46383926705617795,1.1670897138596756,0.07352757094971607,0.2283004707211945,-0.05210872914421749,-0.22768305343420947,0.9152601169130231
SPY,SPY,2025-2026,gross_no_cost,0.4,ma100_filter,100,0.6229946524064172,39.0,0.10427807486631016,0.0,0.18998905676127142,0.29423840066299745,-0.10424934390172602,1.2467099284001213,1.0608427951321036,0.09786889452126059,0.17876500718992488,-0.06824313730334763,-0.1875523448942732,2.784002381320057
SPY,SPY,2025-2026,net_after_cost_slippage,0.4,ma100_filter,100,0.6229946524064172,39.0,0.10427807486631016,0.039,0.14449496702850384,0.29423840066299745,-0.1497434336344936,0.9784472366799383,1.0608427951321036,0.09784487504889956,0.17876500718992488,-0.071980777085902,-0.1875523448942732,2.0074104903877776
